Text,Liked
"['thing', 'like', 'prime', 'rib', 'dessert', 'section']",1
"['bad', 'food', 'damn', 'generic']",0
"['burger', 'good', 'beef', 'cooked', 'right']",1
"['want', 'sandwich', 'go', 'firehouse']",1
"['side', 'greek', 'salad', 'greek', 'dressing', 'tasty', 'pita', 'hummus', 'refreshing']",1
"['ordered', 'duck', 'rare', 'pink', 'tender', 'inside', 'nice', 'char', 'outside']",1
"['came', 'running', 'u', 'realized', 'husband', 'left', 'sunglass', 'table']",1
"['chow', 'mein', 'good']",1
"['horrible', 'attitude', 'towards', 'customer', 'talk', 'one', 'customer', 'dont', 'enjoy', 'food']",0
"['portion', 'huge']",1
"['loved', 'itfriendly', 'server', 'great', 'food', 'wonderful', 'imaginative', 'menu']",1
"['heart', 'attack', 'grill', 'downtown', 'vega', 'absolutely', 'flatlined', 'excuse', 'restaurant']",0
"['not', 'much', 'seafood', 'like', '5', 'string', 'pasta', 'bottom']",0
"['salad', 'right', 'amount', 'sauce', 'not', 'power', 'scallop', 'perfectly', 'cooked']",1
"['ripped', 'banana', 'not', 'ripped', 'petrified', 'tasteless']",0
"['least', 'think', 'refill', 'water', 'struggle', 'wave', '10', 'minute']",0
"['place', 'receives', 'star', 'appetizer']",1
"['cocktail', 'handmade', 'delicious']",1
"['wed', 'definitely', 'go', 'back']",1
"['glad', 'found', 'place']",1
"['great', 'food', 'service', 'huge', 'portion', 'give', 'military', 'discount']",1
"['always', 'great', 'time', 'do', 'gringo']",1
"['updatewent', 'back', 'second', 'time', 'still', 'amazing']",1
"['got', 'food', 'apparently', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy']",0
"['great', 'way', 'finish', 'great']",1
"['deal', 'included', '5', 'tasting', '2', 'drink', 'jeff', 'went', 'beyond', 'expected']",1
"['really', 'really', 'good', 'rice', 'time']",1
"['service', 'meh']",0
"['took', '30', 'min', 'get', 'milkshake', 'nothing', 'chocolate', 'milk']",0
"['guess', 'known', 'place', 'would', 'suck', 'inside', 'excalibur', 'didnt', 'use', 'common', 'sense']",0
"['scallop', 'dish', 'quite', 'appalling', 'value', 'well']",0
"['2', 'time', 'bad', 'customer', 'service']",0
"['sweet', 'potato', 'fry', 'good', 'seasoned', 'well']",1
"['today', 'second', 'time', 'ive', 'lunch', 'buffet', 'pretty', 'good']",1
"['much', 'good', 'food', 'vega', 'feel', 'cheated', 'wasting', 'eating', 'opportunity', 'going', 'rice', 'company']",0
"['coming', 'like', 'experiencing', 'underwhelming', 'relationship', 'party', 'cant', 'wait', 'person', 'ask', 'break']",0
"['walked', 'place', 'smelled', 'like', 'old', 'grease', 'trap', '2', 'others', 'eating']",0
"['turkey', 'roast', 'beef', 'bland']",0
['place'],1
"['pan', 'cake', 'everyone', 'raving', 'taste', 'like', 'sugary', 'disaster', 'tailored', 'palate', 'six', 'year', 'old']",0
"['love', 'pho', 'spring', 'roll', 'oh', 'yummy', 'try']",1
"['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tender', 'unsatisfying']",0
"['say', 'food', 'amazing']",1
"['omelet', 'die']",1
"['everything', 'fresh', 'delicious']",1
"['summary', 'largely', 'disappointing', 'dining', 'experience']",0
"['like', 'really', 'sexy', 'party', 'mouth', 'youre', 'outrageously', 'flirting', 'hottest', 'person', 'party']",1
"['never', 'hard', 'rock', 'casino', 'never', 'ever', 'step', 'forward']",0
"['best', 'breakfast', 'buffet']",1
"['say', 'bye', 'bye', 'tip', 'lady']",0
"['well', 'never', 'go']",0
['back'],1
"['food', 'arrived', 'quickly']",1
"['not', 'good']",0
"['side', 'cafe', 'serf', 'really', 'good', 'food']",1
"['server', 'fantastic', 'found', 'wife', 'love', 'roasted', 'garlic', 'bone', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go']",1
"['good', 'thing', 'waiter', 'helpful', 'kept', 'bloddy', 'mary', 'coming']",1
"['best', 'buffet', 'town', 'price', 'cannot', 'beat']",1
"['loved', 'mussel', 'cooked', 'wine', 'reduction', 'duck', 'tender', 'potato', 'dish', 'delicious']",1
"['one', 'better', 'buffet']",1
"['went', 'tigerlilly', 'fantastic', 'afternoon']",1
"['food', 'delicious', 'bartender', 'attentive', 'personable', 'got', 'great', 'deal']",1
"['ambience', 'wonderful', 'music', 'playing']",1
"['go', 'back', 'next', 'trip']",1
"['sooooo', 'good']",1
"['real', 'sushi', 'lover', 'let', 'honest', 'yama', 'not', 'good']",0
"['least', '40min', 'passed', 'u', 'ordering', 'food', 'arriving', 'wasnt', 'busy']",0
"['really', 'fantastic', 'thai', 'restaurant', 'definitely', 'worth', 'visit']",1
"['nice', 'spicy', 'tender']",1
"['good', 'price']",1
['check'],1
"['pretty', 'gross']",0
"['ive', 'better', 'atmosphere']",0
"['kind', 'hard', 'mess', 'steak']",0
"['although', 'much', 'liked', 'look', 'sound', 'place', 'actual', 'experience', 'bit', 'disappointing']",0
"['dont', 'know', 'place', 'managed', 'served', 'blandest', 'food', 'ever', 'eaten', 'preparing', 'indian', 'cuisine']",0
"['worst', 'service', 'boot', 'least', 'worry']",0
"['service', 'fine', 'waitress', 'friendly']",1
"['guy', 'steak', 'steak', 'loving', 'son', 'steak', 'best', 'worst', 'place', 'said', 'best', 'steak', 'he', 'ever', 'eaten']",1
"['thought', 'youd', 'venture', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night']",1
"['host', 'staff', 'lack', 'better', 'word', 'bitch']",0
"['bland', 'not', 'liking', 'place', 'number', 'reason', 'dont', 'want', 'waste', 'time', 'bad', 'reviewing', 'ill', 'leave']",0
"['phenomenal', 'food', 'service', 'ambiance']",1
"['wouldnt', 'return']",0
"['definitely', 'worth', 'venturing', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'im', 'vega']",1
"['place', 'way', 'overpriced', 'mediocre', 'food']",0
"['penne', 'vodka', 'excellent']",1
"['good', 'selection', 'food', 'including', 'massive', 'meatloaf', 'sandwich', 'crispy', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burger']",1
"['management', 'rude']",0
"['delicious', 'nyc', 'bagel', 'good', 'selection', 'cream', 'cheese', 'real', 'lox', 'caper', 'even']",1
"['great', 'subway', 'fact', 'good', 'come', 'every', 'subway', 'not', 'meet', 'expectation']",1
"['seriously', 'solid', 'breakfast']",1
"['one', 'best', 'bar', 'food', 'vega']",1
"['extremely', 'rude', 'really', 'many', 'restaurant', 'would', 'love', 'dine', 'weekend', 'vega']",0
"['drink', 'never', 'empty', 'made', 'really', 'great', 'menu', 'suggestion']",1
['dont'],0
"['waiter', 'wasnt', 'helpful', 'friendly', 'rarely', 'checked', 'u']",0
"['husband', 'ate', 'lunch', 'disappointed', 'food', 'service']",0
"['red', 'curry', 'much', 'bamboo', 'shoot', 'wasnt', 'tasty']",0
"['nice', 'blanket', 'moz', 'top', 'feel', 'like', 'done', 'cover', 'subpar', 'food']",1
"['bathroom', 'clean', 'place', 'well', 'decorated']",1
"['menu', 'always', 'changing', 'food', 'quality', 'going', 'service', 'extremely', 'slow']",0
"['service', 'little', 'slow', 'considering', 'served', '3', 'people', 'server', 'food', 'coming', 'slow', 'pace']",0
"['give', '2', 'thumb']",0
"['watched', 'waiter', 'pay', 'lot', 'attention', 'table', 'ignore', 'u']",0
"['fiancé', 'came', 'middle', 'day', 'greeted', 'seated', 'right', 'away']",1
"['great', 'restaurant', 'mandalay', 'bay']",1
"['waited', 'forty', 'five', 'minute', 'vain']",0
"['crostini', 'came', 'salad', 'stale']",0
"['highlight', 'great', 'quality', 'nigiri']",1
"['staff', 'friendly', 'joint', 'always', 'clean']",1
"['different', 'cut', 'piece', 'day', 'still', 'wonderful', 'tender', 'well', 'well', 'flavored']",1
"['ordered', 'voodoo', 'pasta', 'first', 'time', 'id', 'really', 'excellent', 'pasta', 'since', 'going', 'gluten', 'free', 'several', 'year', 'ago']",1
"['place', 'good']",1
"['unfortunately', 'must', 'hit', 'bakery', 'leftover', 'day', 'everything', 'ordered', 'stale']",0
"['came', 'back', 'today', 'since', 'relocated', 'still', 'not', 'impressed']",0
"['seated', 'immediately']",1
"['menu', 'diverse', 'reasonably', 'priced']",1
"['avoid', 'cost']",0
"['restaurant', 'always', 'full', 'never', 'wait']",1
['delicious'],1
"['place', 'handsdown', 'one', 'best', 'place', 'eat', 'phoenix', 'metro', 'area']",1
"['dont', 'go', 'looking', 'good', 'food']",0
"['ive', 'never', 'treated', 'bad']",0
"['bacon', 'hella', 'salty']",1
"['also', 'ordered', 'spinach', 'avocado', 'salad', 'ingredient', 'sad', 'dressing', 'literally', 'zero', 'taste']",0
"['really', 'vega', 'fine', 'dining', 'used', 'right', 'menu', 'handed', 'lady', 'price', 'listed']",1
"['waitress', 'friendly']",1
"['lordy', 'khao', 'soi', 'dish', 'not', 'missed', 'curry', 'lover']",1
"['everything', 'menu', 'terrific', 'also', 'thrilled', 'made', 'amazing', 'accommodation', 'vegetarian', 'daughter']",1
"['perhaps', 'caught', 'night', 'judging', 'review', 'im', 'not', 'inspired', 'go', 'back']",0
"['service', 'leaf', 'lot', 'desired']",0
"['atmosphere', 'modern', 'hip', 'maintaining', 'touch', 'coziness']",1
"['not', 'weekly', 'haunt', 'definitely', 'place', 'come', 'back', 'every']",1
"['literally', 'sat', '20', 'minute', 'one', 'asking', 'take', 'order']",0
"['burger', 'absolutely', 'flavor', 'meat', 'totally', 'bland', 'burger', 'overcooked', 'charcoal', 'flavor']",0
"['also', 'decided', 'not', 'send', 'back', 'waitress', 'looked', 'like', 'verge', 'heart', 'attack']",0
"['dressed', 'treated', 'rudely']",0
"['probably', 'dirt']",0
"['love', 'place', 'hit', 'spot', 'want', 'something', 'healthy', 'not', 'lacking', 'quantity', 'flavor']",1
"['ordered', 'lemon', 'raspberry', 'ice', 'cocktail', 'also', 'incredible']",1
"['food', 'sucked', 'expected', 'sucked', 'could', 'imagined']",0
"['interesting', 'decor']",1
"['really', 'like', 'crepe', 'station']",1
"['also', 'served', 'hot', 'bread', 'butter', 'home', 'made', 'potato', 'chip', 'bacon', 'bit', 'topvery', 'original', 'good']",1
"['watch', 'preparing', 'delicious', 'food']",1
"['egg', 'roll', 'fantastic']",1
"['order', 'arrived', 'one', 'gyro', 'missing']",0
"['salad', 'wing', 'ice', 'cream', 'dessert', 'left', 'feeling', 'quite', 'satisfied']",1
"['im', 'not', 'really', 'sure', 'joeys', 'voted', 'best', 'hot', 'dog', 'valley', 'reader', 'phoenix', 'magazine']",0
"['best', 'place', 'go', 'tasty', 'bowl', 'pho']",1
"['live', 'music', 'friday', 'totally', 'blow']",0
"['ive', 'never', 'insulted', 'felt', 'disrespected']",0
"['friendly', 'staff']",1
"['worth', 'drive']",1
"['heard', 'good', 'thing', 'place', 'exceeding', 'every', 'hope', 'could', 'dreamed']",1
"['food', 'great', 'serivce']",1
"['warm', 'beer', 'didnt', 'help']",0
"['great', 'brunch', 'spot']",1
"['service', 'friendly', 'inviting']",1
"['good', 'lunch', 'spot']",1
"['ive', 'lived', 'since', '1979', 'first', 'last', 'time', 'ive', 'stepped', 'foot', 'place']",0
"['worst', 'experience', 'ever']",0
"['must', 'night', 'place']",0
"['side', 'delish', 'mixed', 'mushroom', 'yukon', 'gold', 'puree', 'white', 'corn', 'beateous']",1
"['bug', 'never', 'showed', 'would', 'given', '4', 'sure', 'side', 'wall', 'bug', 'climbing', 'kitchen']",0
"['10', 'minute', 'waiting', 'salad', 'realized', 'wasnt', 'coming', 'time', 'soon']",0
"['friend', 'loved', 'salmon', 'tartar']",1
"['wont', 'go', 'back']",0
"['extremely', 'tasty']",1
"['waitress', 'good', 'though']",1
"['soggy', 'not', 'good']",0
"['jamaican', 'mojitos', 'delicious']",1
"['small', 'not', 'worth', 'price']",0
"['food', 'rich', 'order', 'accordingly']",1
"['shower', 'area', 'outside', 'rinse', 'not', 'take', 'full', 'shower', 'unless', 'dont', 'mind', 'nude', 'everyone', 'see']",0
"['service', 'bit', 'lacking']",0
"['lobster', 'bisque', 'bussell', 'sprout', 'risotto', 'filet', 'needed', 'salt', 'pepperand', 'course', 'none', 'table']",0
"['hopefully', 'bodes', 'going', 'business', 'someone', 'cook', 'come']",0
"['either', 'cold', 'not', 'enough', 'flavor', 'bad']",0
"['loved', 'bacon', 'wrapped', 'date']",1
"['unbelievable', 'bargain']",1
"['folk', 'otto', 'always', 'make', 'u', 'feel', 'welcome', 'special']",1
"['main', 'also', 'uninspired']",0
"['place', 'first', 'pho', 'amazing']",1
"['wonderful', 'experience', 'made', 'place', 'muststop', 'whenever', 'town']",1
"['food', 'isnt', 'bad', 'enough', 'enjoy', 'dealing', 'world', 'worstannoying', 'drunk', 'people']",0
"['fun', 'chef']",1
"['ordered', 'double', 'cheeseburger', 'got', 'single', 'patty', 'falling', 'apart', 'picture', 'uploaded', 'yeah', 'still', 'suck']",0
"['great', 'place', 'couple', 'drink', 'watch', 'sporting', 'event', 'wall', 'covered', 'tv']",1
"['possible', 'give', 'zero', 'star', 'theyd']",0
"['description', 'said', 'yum', 'yum', 'sauce', 'another', 'said', 'eel', 'sauce', 'yet', 'another', 'said', 'spicy', 'mayowell', 'none', 'roll', 'sauce']",0
"['id', 'say', 'would', 'hardest', 'decision', 'honestly', 'm', 'dish', 'taste', 'supposed', 'taste', 'amazing']",1
"['not', 'rolled', 'eye', 'may', 'stayed', 'not', 'sure', 'go', 'back', 'try']",0
"['everyone', 'attentive', 'providing', 'excellent', 'customer', 'service']",1
"['horrible', 'dont', 'waste', 'time', 'money']",0
"['dish', 'quite', 'flavourful']",1
"['time', 'side', 'restaurant', 'almost', 'empty', 'excuse']",0
"['wasnt', 'busy', 'either', 'also', 'building', 'freezing', 'cold']",0
"['like', 'reviewer', 'said', 'couldnt', 'pay', 'eat', 'place']",0
"['drink', 'took', 'close', '30', 'minute', 'come', 'one', 'point']",0
"['seriously', 'flavorful', 'delight', 'folk']",1
"['much', 'better', 'ayce', 'sushi', 'place', 'went', 'vega']",1
"['lighting', 'dark', 'enough', 'set', 'mood']",1
"['based', 'subpar', 'service', 'received', 'effort', 'show', 'gratitude', 'business', 'wont', 'going', 'back']",0
"['owner', 'really', 'great', 'people']",1
"['nothing', 'privileged', 'workingeating']",0
"['greek', 'dressing', 'creamy', 'flavorful']",1
"['overall', 'dont', 'think', 'would', 'take', 'parent', 'place', 'made', 'similar', 'complaint', 'silently', 'felt']",0
"['pizza', 'good', 'peanut', 'sauce', 'tasty']",1
"['7', 'table', 'service', 'pretty', 'fast']",1
"['fantastic', 'service']",1
"['well', 'wouldve', 'given', 'godfather', 'zero', 'star', 'possible']",0
"['know', 'make']",1
"['tough', 'short', 'flavor']",0
"['hope', 'place', 'stick', 'around']",1
"['bar', 'vega', 'not', 'ever', 'recall', 'charged', 'tap', 'water']",0
"['restaurant', 'atmosphere', 'exquisite']",1
"['good', 'service', 'clean', 'inexpensive', 'boot']",1
"['seafood', 'fresh', 'generous', 'portion']",1
"['plus', '8', 'buck']",1
"['service', 'not', 'par', 'either']",0
"['thus', 'far', 'visited', 'twice', 'food', 'absolutely', 'delicious', 'time']",1
"['good', 'year', 'ago']",1
"['self', 'proclaimed', 'coffee', 'cafe', 'wildly', 'disappointed']",0
"['veggitarian', 'platter', 'world']",1
"['cant', 'go', 'wrong', 'food']",1
"['cant', 'beat']",1
"['stopped', 'place', 'madison', 'ironman', 'friendly', 'kind', 'staff']",1
"['chef', 'friendly', 'good', 'job']",1
"['ive', 'better', 'not', 'dedicated', 'boba', 'tea', 'spot', 'even', 'jenni', 'pho']",0
"['liked', 'patio', 'service', 'outstanding']",1
"['goat', 'taco', 'didnt', 'skimp', 'meat', 'wow', 'flavor']",1
"['think', 'not']",0
"['mac', 'salad', 'pretty', 'bland', 'not', 'getting']",0
"['went', 'bachi', 'burger', 'friend', 'recommendation', 'not', 'disappointed']",1
"['service', 'stink']",0
"['waited', 'waited']",0
"['place', 'not', 'quality', 'sushi', 'not', 'quality', 'restaurant']",0
"['would', 'definitely', 'recommend', 'wing', 'well', 'pizza']",1
"['great', 'pizza', 'salad']",1
"['thing', 'went', 'wrong', 'burned', 'saganaki']",0
"['waited', 'hour', 'breakfast', 'could', 'done', '100', 'time', 'better', 'home']",0
"['place', 'amazing']",1
"['hate', 'disagree', 'fellow', 'yelpers', 'husband', 'disappointed', 'place']",0
"['waited', '2', 'hour', 'never', 'got', 'either', 'pizza', 'many', 'around', 'u', 'came', 'later']",0
"['dont', 'know', 'slow']",0
"['staff', 'great', 'food', 'delish', 'incredible', 'beer', 'selection']",1
"['live', 'neighborhood', 'disappointed', 'wont', 'back', 'convenient', 'location']",0
"['didnt', 'know', 'pulled', 'pork', 'could', 'soooo', 'delicious']",1
"['get', 'incredibly', 'fresh', 'fish', 'prepared', 'care']",1
"['go', 'gave', '1', 'star', 'rating', 'please', 'know', 'third', 'time', 'eating', 'bachi', 'burger', 'writing', 'review']",0
"['love', 'fact', 'everything', 'menu', 'worth']",1
"['never', 'dining', 'place']",0
"['food', 'excellent', 'service', 'good']",1
"['good', 'beer', 'drink', 'selection', 'good', 'food', 'selection']",1
"['please', 'stay', 'away', 'shrimp', 'stir', 'fried', 'noodle']",0
"['potato', 'chip', 'order', 'sad', 'could', 'probably', 'count', 'many', 'chip', 'box', 'probably', 'around', '12']",0
"['food', 'really', 'boring']",0
"['good', 'servicecheck']",1
"['greedy', 'corporation', 'never', 'see', 'another', 'dime']",0
"['never', 'ever', 'go', 'back']",0
"['much', 'id', 'like', 'go', 'back', 'cant', 'get', 'passed', 'atrocious', 'service', 'never', 'return']",0
"['summer', 'dine', 'charming', 'outdoor', 'patio', 'delightful']",1
"['not', 'expect', 'good']",1
"['fantastic', 'food']",1
"['ordered', 'toasted', 'english', 'muffin', 'came', 'untoasted']",0
"['food', 'good']",1
"['never', 'going', 'back']",0
"['great', 'food', 'price', 'high', 'quality', 'house', 'made']",1
"['bus', 'boy', 'hand', 'rude']",0
"['point', 'friend', 'basically', 'figured', 'place', 'joke', 'didnt', 'mind', 'making', 'publicly', 'loudly', 'known']",0
"['back', 'good', 'bbq', 'lighter', 'fare', 'reasonable', 'pricing', 'tell', 'public', 'back', 'old', 'way']",1
"['considering', 'two', 'u', 'left', 'full', 'happy', '20', 'cant', 'go', 'wrong']",1
"['bread', 'made', 'inhouse']",1
"['downside', 'service']",0
"['also', 'fry', 'without', 'doubt', 'worst', 'fry', 'ive', 'ever']",0
"['service', 'exceptional', 'food', 'good', 'review']",1
"['couple', 'month', 'later', 'returned', 'amazing', 'meal']",1
"['favorite', 'place', 'town', 'shawarrrrrrma']",1
"['black', 'eyed', 'pea', 'sweet', 'potato', 'unreal']",1
"['wont', 'disappointed']",1
"['could', 'serve', 'vinaigrette', 'may', 'make', 'better', 'overall', 'dish', 'still', 'good']",1
"['go', 'far', 'many', 'place', 'ive', 'never', 'seen', 'restaurant', 'serf', '1', 'egg', 'breakfast', 'especially', '400']",0
"['mom', 'got', 'home', 'immediately', 'got', 'sick', 'bite', 'salad']",0
"['server', 'not', 'pleasant', 'deal', 'dont', 'always', 'honor', 'pizza', 'hut', 'coupon']",0
"['truly', 'unbelievably', 'good', 'glad', 'went', 'back']",1
"['fantastic', 'service', 'pleased', 'atmosphere']",1
"['everything', 'gross']",0
"['love', 'place']",1
"['great', 'service', 'food']",1
"['first', 'bathroom', 'location', 'dirty', 'seat', 'cover', 'not', 'replenished', 'plain', 'yucky']",0
"['burger', 'got', 'gold', 'standard', '17', 'burger', 'kind', 'disappointed']",0
"['omg', 'food', 'delicioso']",1
"['nothing', 'authentic', 'place']",0
"['spaghetti', 'nothing', 'special', 'whatsoever']",0
"['dish', 'salmon', 'best', 'great']",1
"['vegetable', 'fresh', 'sauce', 'feel', 'like', 'authentic', 'thai']",1
"['worth', 'driving', 'tucson']",1
"['selection', 'probably', 'worst', 'ive', 'seen', 'vegasthere', 'none']",0
"['pretty', 'good', 'beer', 'selection']",1
"['place', 'like', 'chipotle', 'better']",1
"['classywarm', 'atmosphere', 'fun', 'fresh', 'appetizer', 'succulent', 'steak', 'baseball', 'steak']",1
"['5', 'star', 'brick', 'oven', 'bread', 'app']",1
"['eaten', 'multiple', 'time', 'time', 'food', 'delicious']",1
"['sat', 'another', 'ten', 'minute', 'finally', 'gave', 'left']",0
['terrible'],0
"['everyone', 'treated', 'equally', 'special']",1
"['shouldnt', 'take', '30', 'min', 'pancake', 'egg']",0
['delicious'],1
"['good', 'side', 'staff', 'genuinely', 'pleasant', 'enthusiastic', 'real', 'treat']",1
"['sadly', 'gordon', 'ramseys', 'steak', 'place', 'shall', 'sharply', 'avoid', 'next', 'trip', 'vega']",0
"['always', 'evening', 'wonderful', 'food', 'delicious']",1
"['best', 'fish', 'ive', 'ever', 'life']",1
"['bathroom', 'next', 'door', 'nice']",1
"['buffet', 'small', 'food', 'offered', 'bland']",0
"['outstanding', 'little', 'restaurant', 'best', 'food', 'ever', 'tasted']",1
"['pretty', 'cool', 'would', 'say']",1
"['definitely', 'turn', 'doubt', 'ill', 'back', 'unless', 'someone', 'else', 'buying']",0
"['server', 'great', 'job', 'handling', 'large', 'rowdy', 'table']",1
"['find', 'wasting', 'food', 'despicable', 'wasnt', 'food']",0
"['wife', 'lobster', 'bisque', 'soup', 'lukewarm']",0
"['would', 'come', 'back', 'sushi', 'craving', 'vega']",1
"['staff', 'great', 'ambiance', 'great']",1
"['deserves', '5', 'star']",1
"['left', 'stomach', 'ache', 'felt', 'sick', 'rest', 'day']",0
"['dropped', 'ball']",0
"['dining', 'space', 'tiny', 'elegantly', 'decorated', 'comfortable']",1
"['customize', 'order', 'way', 'youd', 'like', 'usual', 'eggplant', 'green', 'bean', 'stir', 'fry', 'love']",1
"['bean', 'rice', 'mediocre', 'best']",0
"['best', 'taco', 'town', 'far']",1
"['took', 'back', 'money', 'got', 'outta']",0
"['interesting', 'part', 'town', 'place', 'amazing']",1
"['rude', 'inconsiderate', 'management']",0
"['staff', 'not', 'friendly', 'wait', 'time', 'served', 'horrible', 'one', 'even', 'say', 'hi', 'first', '10', 'minute']",0
"['wont', 'back']",0
"['great', 'dinner']",1
"['service', 'outshining', 'definitely', 'recommend', 'halibut']",1
"['food', 'terrible']",0
"['never', 'ever', 'go', 'back', 'told', 'many', 'people', 'happened']",0
"['dont', 'recommend', 'unless', 'car', 'break', 'front', 'starving']",0
"['come', 'back', 'every', 'time', 'im', 'vega']",1
"['place', 'deserves', 'one', 'star', '90', 'food']",0
['disgrace'],0
"['def', 'coming', 'back', 'bowl', 'next', 'time']",1
"['want', 'healthy', 'authentic', 'ethic', 'food', 'try', 'place']",1
"['continue', 'come', 'lady', 'night', 'andddd', 'date', 'night', 'highly', 'recommend', 'place', 'anyone', 'area']",1
"['several', 'time', 'past', 'experience', 'always', 'great']",1
"['walked', 'away', 'stuffed', 'happy', 'first', 'vega', 'buffet', 'experience']",1
"['service', 'excellent', 'price', 'pretty', 'reasonable', 'considering', 'vega', 'located', 'inside', 'crystal', 'shopping', 'mall', 'aria']",1
"['summarize', 'food', 'incredible', 'nay', 'transcendant', 'nothing', 'brings', 'joy', 'quite', 'like', 'memory', 'pneumatic', 'condiment', 'dispenser']",1
"['im', 'probably', 'one', 'people', 'ever', 'go', 'ians', 'not', 'like']",0
"['kid', 'pizza', 'always', 'hit', 'lot', 'great', 'side', 'dish', 'option', 'kiddos']",1
"['service', 'perfect', 'family', 'atmosphere', 'nice', 'see']",1
"['cooked', 'perfection', 'service', 'impeccable']",1
"['one', 'simply', 'disappointment']",0
"['overall', 'disappointed', 'quality', 'food', 'bouchon']",0
"['dont', 'accountant', 'know', 'im', 'getting', 'screwed']",0
"['great', 'place', 'eat', 'reminds', 'little', 'mom', 'pop', 'shop', 'san', 'francisco', 'bay', 'area']",1
"['today', 'first', 'taste', 'buldogis', 'gourmet', 'hot', 'dog', 'tell', 'ever', 'thought', 'possible']",1
"['left', 'frustrated']",0
"['ill', 'definitely', 'soon']",1
"['food', 'really', 'good', 'got', 'full', 'petty', 'fast']",1
"['service', 'fantastic']",1
"['total', 'waste', 'time']",0
"['dont', 'know', 'kind', 'best', 'iced', 'tea']",1
"['come', 'hungry', 'leave', 'happy', 'stuffed']",1
"['service', 'give', 'star']",0
"['assure', 'wont', 'disappointed']",1
"['take', 'little', 'bad', 'service', 'food', 'suck']",0
"['gave', 'trying', 'eat', 'crust', 'teeth', 'still', 'sore']",0
"['completely', 'grossed']",0
"['really', 'enjoyed', 'eating']",1
"['first', 'time', 'going', 'think', 'quickly', 'become', 'regular']",1
"['server', 'nice', 'even', 'though', 'looked', 'little', 'overwhelmed', 'need', 'stayed', 'professional', 'friendly', 'end']",1
"['dinner', 'companion', 'told', 'meeverything', 'fresh', 'nice', 'texture', 'taste']",1
"['ground', 'right', 'next', 'table', 'large', 'smeared', 'beensteppedinandtrackedeverywhere', 'pile', 'green', 'bird', 'poop']",0
"['furthermore', 'cant', 'even', 'find', 'hour', 'operation', 'website']",0
"['weve', 'tried', 'like', 'place', '10', 'time', 'think', 'done']",0
['mistake'],0
['complaint'],1
"['seriously', 'good', 'pizza', 'im', 'expertconnisseur', 'topic']",1
